Designator,Footprint,Quantity,Value,LCSC Part #
C1,0805,1,1uF,
C2,0805,1,0.47μF,
"C3, C43, C45",0805,3,47μF,
C4,0805,1,10μF,
"C42, C44",0805,2,33nF,
"C46, C47",0805,2,0.05μF,
"C48, C49, C5, C50, C6, C7",0805,6,0.1μF,
D1,D_SMA,1,SS14,
"D3, D4, D5, D6",LED_D5.0mm,4,LED,
J1,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB4105,
J2,Jack_3.5mm_CUI_SJ1-3535NG_Horizontal,1,PJ-325C5-G,C692438
"J3, J4",PinHeader_1x01_P2.54mm_Vertical,2,Conn_01x01_Pin,
"R1, R2",0805,2,5.1kΩ,
"R10, R11, R8, R9",0805,4,330Ω,
R12,PinSocket_1x02_P2.54mm_Vertical,1,Force Sensitive Resistor 500mm,
"R13, R3",0805,2,10kΩ,
"R28, R29",0805,2,10Ω,
"R4, R5, R6",0805,3,0Ω,
RV1,PinSocket_1x03_P2.54mm_Vertical,1,SEN-08681,
RV2,POT_3362P,1,3362P-100kΩ,
"SW1, SW2",SW_PUSH_6mm,2,SW_SPST,
SW3,RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm,1,RotaryEncoder_Switch,
U1,ESP32-S3-WROOM-2,1,ESP32-S3-WROOM-2,
U2,SOT-223-4_L6.5-W3.5-P2.30-LS7.0-BR,1,LM3940IMPX-3.3/NOPB,C544820
U32,SOIC-14_3.9x8.7mm_P1.27mm,1,MCP4922,
"U33, U34",SOIC-8_3.9x4.9mm_P1.27mm,2,LM386,
